Extraction des impliquants premiers
T: Déjà Traité  P: Premier  A: en attente

Groupage N°1
T 0-1-0010001
T -01-0010001
T --100010001
T 00100100--1
T 0010010-0-1
T 001001-00-1
T 0010-1000-1
T 001-01000-1
T 0-1001000-1
T -01001000-1
T 0010010--01
T 001001-0-01
T 0010-100-01
T 001-0100-01
T 0-100100-01
T -0100100-01
T 001001--001
T 0010-10-001
T 001-010-001
T 0-10010-001
T -010010-001
T 0010-1-0001
T 001-01-0001
T 0-1001-0001
T -01001-0001
T 001--100001
T 0-10-100001
T -010-100001
T 0-1-0100001
T -01-0100001
T --100100001
T 00101000--1
T 0010100-0-1
T 001010-00-1
T 00101-000-1
T 001-10000-1
T 0-1010000-1
T -01010000-1
T 0010100--01
T 001010-0-01
T 00101-00-01
T 001-1000-01
T 0-101000-01
T -0101000-01
T 001010--001
T 00101-0-001
T 001-100-001
T 0-10100-001
T -010100-001
T 00101--0001
T 001-10-0001
T 0-1010-0001
T -01010-0001
T 001-1-00001
T 0-101-00001
T -0101-00001
T 0-1-1000001
T -01-1000001
T --101000001
T 00110000--1
T 0011000-0-1
T 001100-00-1
T 00110-000-1
T 0011-0000-1
T 0-1100000-1
T -01100000-1
T 0011000--01
T 001100-0-01
T 00110-00-01
T 0011-000-01
T 0-110000-01
T -0110000-01
T 001100--001
T 00110-0-001
T 0011-00-001
T 0-11000-001
T -011000-001
T 00110--0001
T 0011-0-0001
T 0-1100-0001
T -01100-0001
T 0011--00001
T 0-110-00001
T -0110-00001
T 0-11-000001
T -011-000001
T --110000001
T 0100000--11
T 010000-0-11
T 01000-00-11
T 0100-000-11
T 010-0000-11
T 01-00000-11
T -1000000-11
T 010000--011
T 01000-0-011
T 0100-00-011
T 010-000-011
T 01-0000-011
T -100000-011
T 01000--0011
T 0100-0-0011
T 010-00-0011
T 01-000-0011
T -10000-0011
T 0100--00011
T 010-0-00011
T 01-00-00011
T -1000-00011
T 010--000011
T 01-0-000011
T -100-000011
T 01--0000011
T -10-0000011
T -1-00000011
T 0100000-1-1
T 010000-01-1
T 01000-001-1
T 0100-0001-1
T 010-00001-1
T 01-000001-1
T -10000001-1
T 010000--101
T 01000-0-101
T 0100-00-101
T 010-000-101
T 01-0000-101
T -100000-101
T 01000--0101
T 0100-0-0101
T 010-00-0101
T 01-000-0101
T -10000-0101
T 0100--00101
T 010-0-00101
T 01-00-00101
T -1000-00101
T 010--000101
T 01-0-000101
T -100-000101
T 01--0000101
T -10-0000101
T -1-00000101
T 01000001--1
T 010000-10-1
T 01000-010-1
T 0100-0010-1
T 010-00010-1
T 01-000010-1
T -10000010-1
T 010000-1-01
T 01000-01-01
T 0100-001-01
T 010-0001-01
T 01-00001-01
T -1000001-01
T 01000--1001
T 0100-0-1001
T 010-00-1001
T 01-000-1001
T -10000-1001
T 0100--01001
T 010-0-01001
T 01-00-01001
T -1000-01001
T 010--001001
T 01-0-001001
T -100-001001
T 01--0001001
T -10-0001001
T -1-00001001
T 01000010--1
T 0100001-0-1
T 01000-100-1
T 0100-0100-1
T 010-00100-1
T 01-000100-1
T -10000100-1
T 0100001--01
T 01000-10-01
T 0100-010-01
T 010-0010-01
T 01-00010-01
T -1000010-01
T 01000-1-001
T 0100-01-001
T 010-001-001
T 01-0001-001
T -100001-001
T 0100--10001
T 010-0-10001
T 01-00-10001
T -1000-10001
T 010--010001
T 01-0-010001
T -100-010001
T 01--0010001
T -10-0010001
T -1-00010001
T 01000100--1
T 0100010-0-1
T 010001-00-1
T 0100-1000-1
T 010-01000-1
T 01-001000-1
T -10001000-1
T 0100010--01
T 010001-0-01
T 0100-100-01
T 010-0100-01
T 01-00100-01
T -1000100-01
T 010001--001
T 0100-10-001
T 010-010-001
T 01-0010-001
T -100010-001
T 0100-1-0001
T 010-01-0001
T 01-001-0001
T -10001-0001
T 010--100001
T 01-0-100001
T -100-100001
T 01--0100001
T -10-0100001
T -1-00100001
T 01001000--1
T 0100100-0-1
T 010010-00-1
T 01001-000-1
T 010-10000-1
T 01-010000-1
T -10010000-1
T 0100100--01
T 010010-0-01
T 01001-00-01
T 010-1000-01
T 01-01000-01
T -1001000-01
T 010010--001
T 01001-0-001
T 010-100-001
T 01-0100-001
T -100100-001
T 01001--0001
T 010-10-0001
T 01-010-0001
T -10010-0001
T 010-1-00001
T 01-01-00001
T -1001-00001
T 01--1000001
T -10-1000001
T -1-01000001
T 01010000--1
T 0101000-0-1
T 010100-00-1
T 01010-000-1
T 0101-0000-1
T 01-100000-1
T -10100000-1
T 0101000--01
T 010100-0-01
T 01010-00-01
T 0101-000-01
T 01-10000-01
T -1010000-01
T 010100--001
T 01010-0-001
T 0101-00-001
T 01-1000-001
T -101000-001
T 01010--0001
T 0101-0-0001
T 01-100-0001
T -10100-0001
T 0101--00001
T 01-10-00001
T -1010-00001
T 01-1-000001
T -101-000001
T -1-10000001
T 01100000--1
T 0110000-0-1
T 011000-00-1
T 01100-000-1
T 0110-0000-1
T 011-00000-1
T -11000000-1
T 0110000--01
T 011000-0-01
T 01100-00-01
T 0110-000-01
T 011-0000-01
T -1100000-01
T 011000--001
T 01100-0-001
T 0110-00-001
T 011-000-001
T -110000-001
T 01100--0001
T 0110-0-0001
T 011-00-0001
T -11000-0001
T 0110--00001
T 011-0-00001
T -1100-00001
T 011--000001
T -110-000001
T -11-0000001
T 1000000--11
T 100000-0-11
T 10000-00-11
T 1000-000-11
T 100-0000-11
T 10-00000-11
T 1-000000-11
T 100000--011
T 10000-0-011
T 1000-00-011
T 100-000-011
T 10-0000-011
T 1-00000-011
T 10000--0011
T 1000-0-0011
T 100-00-0011
T 10-000-0011
T 1-0000-0011
T 1000--00011
T 100-0-00011
T 10-00-00011
T 1-000-00011
T 100--000011
T 10-0-000011
T 1-00-000011
T 10--0000011
T 1-0-0000011
T 1--00000011
T 1000000-1-1
T 100000-01-1
T 10000-001-1
T 1000-0001-1
T 100-00001-1
T 10-000001-1
T 1-0000001-1
T 100000--101
T 10000-0-101
T 1000-00-101
T 100-000-101
T 10-0000-101
T 1-00000-101
T 10000--0101
T 1000-0-0101
T 100-00-0101
T 10-000-0101
T 1-0000-0101
T 1000--00101
T 100-0-00101
T 10-00-00101
T 1-000-00101
T 100--000101
T 10-0-000101
T 1-00-000101
T 10--0000101
T 1-0-0000101
T 1--00000101
T 10000001--1
T 100000-10-1
T 10000-010-1
T 1000-0010-1
T 100-00010-1
T 10-000010-1
T 1-0000010-1
T 100000-1-01
T 10000-01-01
T 1000-001-01
T 100-0001-01
T 10-00001-01
T 1-000001-01
T 10000--1001
T 1000-0-1001
T 100-00-1001
T 10-000-1001
T 1-0000-1001
T 1000--01001
T 100-0-01001
T 10-00-01001
T 1-000-01001
T 100--001001
T 10-0-001001
T 1-00-001001
T 10--0001001
T 1-0-0001001
T 1--00001001
T 10000010--1
T 1000001-0-1
T 10000-100-1
T 1000-0100-1
T 100-00100-1
T 10-000100-1
T 1-0000100-1
T 1000001--01
T 10000-10-01
T 1000-010-01
T 100-0010-01
T 10-00010-01
T 1-000010-01
T 10000-1-001
T 1000-01-001
T 100-001-001
T 10-0001-001
T 1-00001-001
T 1000--10001
T 100-0-10001
T 10-00-10001
T 1-000-10001
T 100--010001
T 10-0-010001
T 1-00-010001
T 10--0010001
T 1-0-0010001
T 1--00010001
T 10000100--1
T 1000010-0-1
T 100001-00-1
T 1000-1000-1
T 100-01000-1
T 10-001000-1
T 1-0001000-1
T 1000010--01
T 100001-0-01
T 1000-100-01
T 100-0100-01
T 10-00100-01
T 1-000100-01
T 100001--001
T 1000-10-001
T 100-010-001
T 10-0010-001
T 1-00010-001
T 1000-1-0001
T 100-01-0001
T 10-001-0001
T 1-0001-0001
T 100--100001
T 10-0-100001
T 1-00-100001
T 10--0100001
T 1-0-0100001
T 1--00100001
T 10001000--1
T 1000100-0-1
T 100010-00-1
T 10001-000-1
T 100-10000-1
T 10-010000-1
T 1-0010000-1
T 1000100--01
T 100010-0-01
T 10001-00-01
T 100-1000-01
T 10-01000-01
T 1-001000-01
T 100010--001
T 10001-0-001
T 100-100-001
T 10-0100-001
T 1-00100-001
T 10001--0001
T 100-10-0001
T 10-010-0001
T 1-0010-0001
T 100-1-00001
T 10-01-00001
T 1-001-00001
T 10--1000001
T 1-0-1000001
T 1--01000001
T 10010000--1
T 1001000-0-1
T 100100-00-1
T 10010-000-1
T 1001-0000-1
T 10-100000-1
T 1-0100000-1
T 1001000--01
T 100100-0-01
T 10010-00-01
T 1001-000-01
T 10-10000-01
T 1-010000-01
T 100100--001
T 10010-0-001
T 1001-00-001
T 10-1000-001
T 1-01000-001
T 10010--0001
T 1001-0-0001
T 10-100-0001
T 1-0100-0001
T 1001--00001
T 10-10-00001
T 1-010-00001
T 10-1-000001
T 1-01-000001
T 1--10000001
T 10100000--1
T 1010000-0-1
T 101000-00-1
T 10100-000-1
T 1010-0000-1
T 101-00000-1
T 1-1000000-1
T 1010000--01
T 101000-0-01
T 10100-00-01
T 1010-000-01
T 101-0000-01
T 1-100000-01
T 101000--001
T 10100-0-001
T 1010-00-001
T 101-000-001
T 1-10000-001
T 10100--0001
T 1010-0-0001
T 101-00-0001
T 1-1000-0001
T 1010--00001
T 101-0-00001
T 1-100-00001
T 101--000001
T 1-10-000001
T 1-1-0000001
T 11000000--1
T 1100000-0-1
T 110000-00-1
T 11000-000-1
T 1100-0000-1
T 110-00000-1
T 11-000000-1
T 1100000--01
T 110000-0-01
T 11000-00-01
T 1100-000-01
T 110-0000-01
T 11-00000-01
T 110000--001
T 11000-0-001
T 1100-00-001
T 110-000-001
T 11-0000-001
T 11000--0001
T 1100-0-0001
T 110-00-0001
T 11-000-0001
T 1100--00001
T 110-0-00001
T 11-00-00001
T 110--000001
T 11-0-000001
T 11--0000001
T 00000--1111
T 0000-0-1111
T 000-00-1111
T 00-000-1111
T 0-0000-1111
T -00000-1111
T 0000--01111
T 000-0-01111
T 00-00-01111
T 0-000-01111
T -0000-01111
T 000--001111
T 00-0-001111
T 0-00-001111
T -000-001111
T 00--0001111
T 0-0-0001111
T -00-0001111
T 0--00001111
T -0-00001111
T --000001111
T 00000-1-111
T 0000-01-111
T 000-001-111
T 00-0001-111
T 0-00001-111
T -000001-111
T 0000--10111
T 000-0-10111
T 00-00-10111
T 0-000-10111
T -0000-10111
T 000--010111
T 00-0-010111
T 0-00-010111
T -000-010111
T 00--0010111
T 0-0-0010111
T -00-0010111
T 0--00010111
T -0-00010111
T --000010111
T 00000-11-11
T 0000-011-11
T 000-0011-11
T 00-00011-11
T 0-000011-11
T -0000011-11
T 0000--11011
T 000-0-11011
T 00-00-11011
T 0-000-11011
T -0000-11011
T 000--011011
T 00-0-011011
T 0-00-011011
T -000-011011
T 00--0011011
T 0-0-0011011
T -00-0011011
T 0--00011011
T -0-00011011
T --000011011
T 00000-111-1
T 0000-0111-1
T 000-00111-1
T 00-000111-1
T 0-0000111-1
T -00000111-1
T 0000--11101
T 000-0-11101
T 00-00-11101
T 0-000-11101
T -0000-11101
T 000--011101
T 00-0-011101
T 0-00-011101
T -000-011101
T 00--0011101
T 0-0-0011101
T -00-0011101
T 0--00011101
T -0-00011101
T --000011101
T 000001--111
T 0000-10-111
T 000-010-111
T 00-0010-111
T 0-00010-111
T -000010-111
T 0000-1-0111
T 000-01-0111
T 00-001-0111
T 0-0001-0111
T -00001-0111
T 000--100111
T 00-0-100111
T 0-00-100111
T -000-100111
T 00--0100111
T 0-0-0100111
T -00-0100111
T 0--00100111
T -0-00100111
T --000100111
T 000001-1-11
T 0000-101-11
T 000-0101-11
T 00-00101-11
T 0-000101-11
T -0000101-11
T 0000-1-1011
T 000-01-1011
T 00-001-1011
T 0-0001-1011
T -00001-1011
T 000--101011
T 00-0-101011
T 0-00-101011
T -000-101011
T 00--0101011
T 0-0-0101011
T -00-0101011
T 0--00101011
T -0-00101011
T --000101011
T 000001-11-1
T 0000-1011-1
T 000-01011-1
T 00-001011-1
T 0-0001011-1
T -00001011-1
T 0000-1-1101
T 000-01-1101
T 00-001-1101
T 0-0001-1101
T -00001-1101
T 000--101101
T 00-0-101101
T 0-00-101101
T -000-101101
T 00--0101101
T 0-0-0101101
T -00-0101101
T 0--00101101
T -0-00101101
T --000101101
T 0000011--11
T 0000-110-11
T 000-0110-11
T 00-00110-11
T 0-000110-11
T -0000110-11
T 0000-11-011
T 000-011-011
T 00-0011-011
T 0-00011-011
T -000011-011
T 000--110011
T 00-0-110011
T 0-00-110011
T -000-110011
T 00--0110011
T 0-0-0110011
T -00-0110011
T 0--00110011
T -0-00110011
T --000110011
T 0000011-1-1
T 0000-1101-1
T 000-01101-1
T 00-001101-1
T 0-0001101-1
T -00001101-1
T 0000-11-101
T 000-011-101
T 00-0011-101
T 0-00011-101
T -000011-101
T 000--110101
T 00-0-110101
T 0-00-110101
T -000-110101
T 00--0110101
T 0-0-0110101
T -00-0110101
T 0--00110101
T -0-00110101
T --000110101
T 00000111--1
T 0000-1110-1
T 000-01110-1
T 00-001110-1
T 0-0001110-1
T -00001110-1
T 0000-111-01
T 000-0111-01
T 00-00111-01
T 0-000111-01
T -0000111-01
T 000--111001
T 00-0-111001
T 0-00-111001
T -000-111001
T 00--0111001
T 0-0-0111001
T -00-0111001
T 0--00111001
T -0-00111001
T --000111001
T 000010--111
T 00001-0-111
T 000-100-111
T 00-0100-111
T 0-00100-111
T -000100-111
T 00001--0111
T 000-10-0111
T 00-010-0111
T 0-0010-0111
T -00010-0111
T 000-1-00111
T 00-01-00111
T 0-001-00111
T -0001-00111
T 00--1000111
T 0-0-1000111
T -00-1000111
T 0--01000111
T -0-01000111
T --001000111
T 000010-1-11
T 00001-01-11
T 000-1001-11
T 00-01001-11
T 0-001001-11
T -0001001-11
T 00001--1011
T 000-10-1011
T 00-010-1011
T 0-0010-1011
T -00010-1011
T 000-1-01011
T 00-01-01011
T 0-001-01011
T -0001-01011
T 00--1001011
T 0-0-1001011
T -00-1001011
T 0--01001011
T -0-01001011
T --001001011
T 000010-11-1
T 00001-011-1
T 000-10011-1
T 00-010011-1
T 0-0010011-1
T -00010011-1
T 00001--1101
T 000-10-1101
T 00-010-1101
T 0-0010-1101
T -00010-1101
T 000-1-01101
T 00-01-01101
T 0-001-01101
T -0001-01101
T 00--1001101
T 0-0-1001101
T -00-1001101
T 0--01001101
T -0-01001101
T --001001101
T 0000101--11
T 00001-10-11
T 000-1010-11
T 00-01010-11
T 0-001010-11
T -0001010-11
T 00001-1-011
T 000-101-011
T 00-0101-011
T 0-00101-011
T -000101-011
T 000-1-10011
T 00-01-10011
T 0-001-10011
T -0001-10011
T 00--1010011
T 0-0-1010011
T -00-1010011
T 0--01010011
T -0-01010011
T --001010011
T 0000101-1-1
T 00001-101-1
T 000-10101-1
T 00-010101-1
T 0-0010101-1
T -00010101-1
T 00001-1-101
T 000-101-101
T 00-0101-101
T 0-00101-101
T -000101-101
T 000-1-10101
T 00-01-10101
T 0-001-10101
T -0001-10101
T 00--1010101
T 0-0-1010101
T -00-1010101
T 0--01010101
T -0-01010101
T --001010101
T 00001011--1
T 00001-110-1
T 000-10110-1
T 00-010110-1
T 0-0010110-1
T -00010110-1
T 00001-11-01
T 000-1011-01
T 00-01011-01
T 0-001011-01
T -0001011-01
T 000-1-11001
T 00-01-11001
T 0-001-11001
T -0001-11001
T 00--1011001
T 0-0-1011001
T -00-1011001
T 0--01011001
T -0-01011001
T --001011001
T 0000110--11
T 000011-0-11
T 000-1100-11
T 00-01100-11
T 0-001100-11
T -0001100-11
T 000011--011
T 000-110-011
T 00-0110-011
T 0-00110-011
T -000110-011
T 000-11-0011
T 00-011-0011
T 0-0011-0011
T -00011-0011
T 00--1100011
T 0-0-1100011
T -00-1100011
T 0--01100011
T -0-01100011
T --001100011
T 0000110-1-1
T 000011-01-1
T 000-11001-1
T 00-011001-1
T 0-0011001-1
T -00011001-1
T 000011--101
T 000-110-101
T 00-0110-101
T 0-00110-101
T -000110-101
T 000-11-0101
T 00-011-0101
T 0-0011-0101
T -00011-0101
T 00--1100101
T 0-0-1100101
T -00-1100101
T 0--01100101
T -0-01100101
T --001100101
T 00001101--1
T 000011-10-1
T 000-11010-1
T 00-011010-1
T 0-0011010-1
T -00011010-1
T 000011-1-01
T 000-1101-01
T 00-01101-01
T 0-001101-01
T -0001101-01
T 000-11-1001
T 00-011-1001
T 0-0011-1001
T -00011-1001
T 00--1101001
T 0-0-1101001
T -00-1101001
T 0--01101001
T -0-01101001
T --001101001
T 00001110--1
T 0000111-0-1
T 000-11100-1
T 00-011100-1
T 0-0011100-1
T -00011100-1
T 0000111--01
T 000-1110-01
T 00-01110-01
T 0-001110-01
T -0001110-01
T 000-111-001
T 00-0111-001
T 0-00111-001
T -000111-001
T 00--1110001
T 0-0-1110001
T -00-1110001
T 0--01110001
T -0-01110001
T --001110001
T 000100--111
T 00010-0-111
T 0001-00-111
T 00-1000-111
T 0-01000-111
T -001000-111
T 00010--0111
T 0001-0-0111
T 00-100-0111
T 0-0100-0111
T -00100-0111
T 0001--00111
T 00-10-00111
T 0-010-00111
T -0010-00111
T 00-1-000111
T 0-01-000111
T -001-000111
T 0--10000111
T -0-10000111
T --010000111
T 000100-1-11
T 00010-01-11
T 0001-001-11
T 00-10001-11
T 0-010001-11
T -0010001-11
T 00010--1011
T 0001-0-1011
T 00-100-1011
T 0-0100-1011
T -00100-1011
T 0001--01011
T 00-10-01011
T 0-010-01011
T -0010-01011
T 00-1-001011
T 0-01-001011
T -001-001011
T 0--10001011
T -0-10001011
T --010001011
T 000100-11-1
T 00010-011-1
T 0001-0011-1
T 00-100011-1
T 0-0100011-1
T -00100011-1
T 00010--1101
T 0001-0-1101
T 00-100-1101
T 0-0100-1101
T -00100-1101
T 0001--01101
T 00-10-01101
T 0-010-01101
T -0010-01101
T 00-1-001101
T 0-01-001101
T -001-001101
T 0--10001101
T -0-10001101
T --010001101
T 0001001--11
T 00010-10-11
T 0001-010-11
T 00-10010-11
T 0-010010-11
T -0010010-11
T 00010-1-011
T 0001-01-011
T 00-1001-011
T 0-01001-011
T -001001-011
T 0001--10011
T 00-10-10011
T 0-010-10011
T -0010-10011
T 00-1-010011
T 0-01-010011
T -001-010011
T 0--10010011
T -0-10010011
T --010010011
T 0001001-1-1
T 00010-101-1
T 0001-0101-1
T 00-100101-1
T 0-0100101-1
T -00100101-1
T 00010-1-101
T 0001-01-101
T 00-1001-101
T 0-01001-101
T -001001-101
T 0001--10101
T 00-10-10101
T 0-010-10101
T -0010-10101
T 00-1-010101
T 0-01-010101
T -001-010101
T 0--10010101
T -0-10010101
T --010010101
T 00010011--1
T 00010-110-1
T 0001-0110-1
T 00-100110-1
T 0-0100110-1
T -00100110-1
T 00010-11-01
T 0001-011-01
T 00-10011-01
T 0-010011-01
T -0010011-01
T 0001--11001
T 00-10-11001
T 0-010-11001
T -0010-11001
T 00-1-011001
T 0-01-011001
T -001-011001
T 0--10011001
T -0-10011001
T --010011001
T 0001010--11
T 000101-0-11
T 0001-100-11
T 00-10100-11
T 0-010100-11
T -0010100-11
T 000101--011
T 0001-10-011
T 00-1010-011
T 0-01010-011
T -001010-011
T 0001-1-0011
T 00-101-0011
T 0-0101-0011
T -00101-0011
T 00-1-100011
T 0-01-100011
T -001-100011
T 0--10100011
T -0-10100011
T --010100011
T 0001010-1-1
T 000101-01-1
T 0001-1001-1
T 00-101001-1
T 0-0101001-1
T -00101001-1
T 000101--101
T 0001-10-101
T 00-1010-101
T 0-01010-101
T -001010-101
T 0001-1-0101
T 00-101-0101
T 0-0101-0101
T -00101-0101
T 00-1-100101
T 0-01-100101
T -001-100101
T 0--10100101
T -0-10100101
T --010100101
T 00010101--1
T 000101-10-1
T 0001-1010-1
T 00-101010-1
T 0-0101010-1
T -00101010-1
T 000101-1-01
T 0001-101-01
T 00-10101-01
T 0-010101-01
T -0010101-01
T 0001-1-1001
T 00-101-1001
T 0-0101-1001
T -00101-1001
T 00-1-101001
T 0-01-101001
T -001-101001
T 0--10101001
T -0-10101001
T --010101001
T 00010110--1
T 0001011-0-1
T 0001-1100-1
T 00-101100-1
T 0-0101100-1
T -00101100-1
T 0001011--01
T 0001-110-01
T 00-10110-01
T 0-010110-01
T -0010110-01
T 0001-11-001
T 00-1011-001
T 0-01011-001
T -001011-001
T 00-1-110001
T 0-01-110001
T -001-110001
T 0--10110001
T -0-10110001
T --010110001
T 0001100--11
T 000110-0-11
T 00011-00-11
T 00-11000-11
T 0-011000-11
T -0011000-11
T 000110--011
T 00011-0-011
T 00-1100-011
T 0-01100-011
T -001100-011
T 00011--0011
T 00-110-0011
T 0-0110-0011
T -00110-0011
T 00-11-00011
T 0-011-00011
T -0011-00011
T 0--11000011
T -0-11000011
T --011000011
T 0001100-1-1
T 000110-01-1
T 00011-001-1
T 00-110001-1
T 0-0110001-1
T -00110001-1
T 000110--101
T 00011-0-101
T 00-1100-101
T 0-01100-101
T -001100-101
T 00011--0101
T 00-110-0101
T 0-0110-0101
T -00110-0101
T 00-11-00101
T 0-011-00101
T -0011-00101
T 0--11000101
T -0-11000101
T --011000101
T 00011001--1
T 000110-10-1
T 00011-010-1
T 00-110010-1
T 0-0110010-1
T -00110010-1
T 000110-1-01
T 00011-01-01
T 00-11001-01
T 0-011001-01
T -0011001-01
T 00011--1001
T 00-110-1001
T 0-0110-1001
T -00110-1001
T 00-11-01001
T 0-011-01001
T -0011-01001
T 0--11001001
T -0-11001001
T --011001001
T 00011010--1
T 0001101-0-1
T 00011-100-1
T 00-110100-1
T 0-0110100-1
T -00110100-1
T 0001101--01
T 00011-10-01
T 00-11010-01
T 0-011010-01
T -0011010-01
T 00011-1-001
T 00-1101-001
T 0-01101-001
T -001101-001
T 00-11-10001
T 0-011-10001
T -0011-10001
T 0--11010001
T -0-11010001
T --011010001
T 00011100--1
T 0001110-0-1
T 000111-00-1
T 00-111000-1
T 0-0111000-1
T -00111000-1
T 0001110--01
T 000111-0-01
T 00-11100-01
T 0-011100-01
T -0011100-01
T 000111--001
T 00-1110-001
T 0-01110-001
T -001110-001
T 00-111-0001
T 0-0111-0001
T -00111-0001
T 0--11100001
T -0-11100001
T --011100001
T 001000--111
T 00100-0-111
T 0010-00-111
T 001-000-111
T 0-10000-111
T -010000-111
T 00100--0111
T 0010-0-0111
T 001-00-0111
T 0-1000-0111
T -01000-0111
T 0010--00111
T 001-0-00111
T 0-100-00111
T -0100-00111
T 001--000111
T 0-10-000111
T -010-000111
T 0-1-0000111
T -01-0000111
T --100000111
T 001000-1-11
T 00100-01-11
T 0010-001-11
T 001-0001-11
T 0-100001-11
T -0100001-11
T 00100--1011
T 0010-0-1011
T 001-00-1011
T 0-1000-1011
T -01000-1011
T 0010--01011
T 001-0-01011
T 0-100-01011
T -0100-01011
T 001--001011
T 0-10-001011
T -010-001011
T 0-1-0001011
T -01-0001011
T --100001011
T 001000-11-1
T 00100-011-1
T 0010-0011-1
T 001-00011-1
T 0-1000011-1
T -01000011-1
T 00100--1101
T 0010-0-1101
T 001-00-1101
T 0-1000-1101
T -01000-1101
T 0010--01101
T 001-0-01101
T 0-100-01101
T -0100-01101
T 001--001101
T 0-10-001101
T -010-001101
T 0-1-0001101
T -01-0001101
T --100001101
T 0010001--11
T 00100-10-11
T 0010-010-11
T 001-0010-11
T 0-100010-11
T -0100010-11
T 00100-1-011
T 0010-01-011
T 001-001-011
T 0-10001-011
T -010001-011
T 0010--10011
T 001-0-10011
T 0-100-10011
T -0100-10011
T 001--010011
T 0-10-010011
T -010-010011
T 0-1-0010011
T -01-0010011
T --100010011
T 0010001-1-1
T 00100-101-1
T 0010-0101-1
T 001-00101-1
T 0-1000101-1
T -01000101-1
T 00100-1-101
T 0010-01-101
T 001-001-101
T 0-10001-101
T -010001-101
T 0010--10101
T 001-0-10101
T 0-100-10101
T -0100-10101
T 001--010101
T 0-10-010101
T -010-010101
T 0-1-0010101
T -01-0010101
T --100010101
T 00100011--1
T 00100-110-1
T 0010-0110-1
T 001-00110-1
T 0-1000110-1
T -01000110-1
T 00100-11-01
T 0010-011-01
T 001-0011-01
T 0-100011-01
T -0100011-01
T 0010--11001
T 001-0-11001
T 0-100-11001
T -0100-11001
T 001--011001
T 0-10-011001
T -010-011001
T 0-1-0011001
T -01-0011001
T --100011001
T 0010010--11
T 001001-0-11
T 0010-100-11
T 001-0100-11
T 0-100100-11
T -0100100-11
T 001001--011
T 0010-10-011
T 001-010-011
T 0-10010-011
T -010010-011
T 0010-1-0011
T 001-01-0011
T 0-1001-0011
T -01001-0011
T 001--100011
T 0-10-100011
T -010-100011
T 0-1-0100011
T -01-0100011
T --100100011
T 0010010-1-1
T 001001-01-1
T 0010-1001-1
T 001-01001-1
T 0-1001001-1
T -01001001-1
T 001001--101
T 0010-10-101
T 001-010-101
T 0-10010-101
T -010010-101
T 0010-1-0101
T 001-01-0101
T 0-1001-0101
T -01001-0101
T 001--100101
T 0-10-100101
T -010-100101
T 0-1-0100101
T -01-0100101
T --100100101
T 00100101--1
T 001001-10-1
T 0010-1010-1
T 001-01010-1
T 0-1001010-1
T -01001010-1
T 001001-1-01
T 0010-101-01
T 001-0101-01
T 0-100101-01
T -0100101-01
T 0010-1-1001
T 001-01-1001
T 0-1001-1001
T -01001-1001
T 001--101001
T 0-10-101001
T -010-101001
T 0-1-0101001
T -01-0101001
T --100101001
T 00100110--1
T 0010011-0-1
T 0010-1100-1
T 001-01100-1
T 0-1001100-1
T -01001100-1
T 0010011--01
T 0010-110-01
T 001-0110-01
T 0-100110-01
T -0100110-01
T 0010-11-001
T 001-011-001
T 0-10011-001
T -010011-001
T 001--110001
T 0-10-110001
T -010-110001
T 0-1-0110001
T -01-0110001
T --100110001
T 0010100--11
T 001010-0-11
T 00101-00-11
T 001-1000-11
T 0-101000-11
T -0101000-11
T 001010--011
T 00101-0-011
T 001-100-011
T 0-10100-011
T -010100-011
T 00101--0011
T 001-10-0011
T 0-1010-0011
T -01010-0011
T 001-1-00011
T 0-101-00011
T -0101-00011
T 0-1-1000011
T -01-1000011
T --101000011
T 0010100-1-1
T 001010-01-1
T 00101-001-1
T 001-10001-1
T 0-1010001-1
T -01010001-1
T 001010--101
T 00101-0-101
T 001-100-101
T 0-10100-101
T -010100-101
T 00101--0101
T 001-10-0101
T 0-1010-0101
T -01010-0101
T 001-1-00101
T 0-101-00101
T -0101-00101
T 0-1-1000101
T -01-1000101
T --101000101
T 00101001--1
T 001010-10-1
T 00101-010-1
T 001-10010-1
T 0-1010010-1
T -01010010-1
T 001010-1-01
T 00101-01-01
T 001-1001-01
T 0-101001-01
T -0101001-01
T 00101--1001
T 001-10-1001
T 0-1010-1001
T -01010-1001
T 001-1-01001
T 0-101-01001
T -0101-01001
T 0-1-1001001
T -01-1001001
T --101001001
T 00101010--1
T 0010101-0-1
T 00101-100-1
T 001-10100-1
T 0-1010100-1
T -01010100-1
T 0010101--01
T 00101-10-01
T 001-1010-01
T 0-101010-01
T -0101010-01
T 00101-1-001
T 001-101-001
T 0-10101-001
T -010101-001
T 001-1-10001
T 0-101-10001
T -0101-10001
T 0-1-1010001
T -01-1010001
T --101010001
T 00101100--1
T 0010110-0-1
T 001011-00-1
T 001-11000-1
T 0-1011000-1
T -01011000-1
T 0010110--01
T 001011-0-01
T 001-1100-01
T 0-101100-01
T -0101100-01
T 001011--001
T 001-110-001
T 0-10110-001
T -010110-001
T 001-11-0001
T 0-1011-0001
T -01011-0001
T 0-1-1100001
T -01-1100001
T --101100001
T 0011000--11
T 001100-0-11
T 00110-00-11
T 0011-000-11
T 0-110000-11
T -0110000-11
T 001100--011
T 00110-0-011
T 0011-00-011
T 0-11000-011
T -011000-011
T 00110--0011
T 0011-0-0011
T 0-1100-0011
T -01100-0011
T 0011--00011
T 0-110-00011
T -0110-00011
